<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
140925;303.18;304.25;302.72;303.97;1566130
150925;304.02;304.75;300.71;302.48;21938052
160925;303.03;304.2;299.7;301.8;26097766
170925;301.8;305.92;299.8;304.5;31415033
180925;304.7;305.05;300.66;301.68;27534217
190925;301.6;303.8;294.61;294.84;38916779
220925;295.76;299.3;292.16;298.05;41168282
230925;298.4;300.11;290.39;291.6;33984637
240925;291.8;296.64;288.4;293.31;47754214
250925;293.87;294.89;289.5;289.9;20997166
260925;290.2;292.79;288.52;291.33;22636605
270925;291.03;292;291.03;291.69;723038
280925;291.69;291.85;290.95;291.08;596818
290925;291.44;295.5;286.5;287.57;34949467
300925;287.7;289.88;285.24;288.36;29380150
011025;288.82;290.39;285.11;286.4;22893088
021025;286.4;287.15;282.8;285.22;28015457
031025;285.7;287.32;282.58;282.91;17097324
041025;283;283;279.39;280.4;5632692
051025;280.4;282.13;279.14;281.99;2450371
061025;282.4;291.17;281.82;290.56;36475432
071025;290;295.87;288.75;293.89;37883967
081025;293.95;295;278;281.9;75217775
091025;282.7;290.45;278.75;289.37;76138824
101025;289.8;289.95;284.1;285.12;34166646
111025;284.4;285.31;282.22;285.16;2386239
121025;285.12;286.85;285;286.81;1662362
131025;286.9;288.75;282.35;285.39;33198626
141025;285.5;286.99;282.05;283.3;22302785
151025;283.93;285.39;282;283.74;22411193
161025;283.9;304;282.4;302.91;94000521
171025;303.23;305;299.76;300.91;45255190
181025;301.3;304.8;301.3;304.18;6838786
191025;304.22;304.87;302.24;303.03;3301013
201025;303.96;306.15;302.71;304;24644648
211025;304.15;304.43;290.5;295.47;70641566
221025;295.53;295.77;286.76;290.02;43142080
231025;286.93;291.98;285.21;291.8;38674747
241025;292.16;294.93;286.3;287.55;47895884
271025;287.47;287.99;282.46;283.17;35144857
281025;283.22;290.7;281;289.46;36963981
291025;290.49;291.51;288.15;290.5;21746069
301025;290.49;298;289.13;296.12;37765828
311025;296.04;297.97;290;291.89;31672518
011125;292.02;294.42;290.35;293.7;12821669
031125;294.2;300;294.2;298.04;17961575
051125;297.65;298.82;293.88;295.7;33696579
061125;295.73;296.93;292.01;294.27;24013733
071125;293.72;298.09;292.52;296.84;22036536
081125;297.27;298.44;296.7;297.93;3197476
091125;297.93;298.35;297.59;297.97;604540
101125;297.95;302.79;297.36;300.46;39169967
111125;300.86;301.87;298.06;301.12;21484002
121125;301.2;301.89;296.81;299.09;24321750
131125;299;301.53;297.67;299.09;16848413
141125;299.09;299.7;295.5;297.44;19654461
151125;297.44;297.89;296.8;297.17;665258
161125;297.1;297.2;296.66;297;527655
171125;296.28;296.55;293.64;294.68;21333008
181125;294.68;302.86;293.33;299.44;47258651
191125;300;309.9;298.66;304.75;60125962
201125;304.76;308.88;301.78;307.89;42348818
211125;308.4;309.23;304.22;306.7;32303106
241125;308.67;309.95;303.7;305.87;26479683
251125;306;307.97;303;306.6;29431770
261125;306.48;306.87;304;304.96;12924058
271125;305.46;306.25;297.33;299.53;34514889
281125;300.82;305.26;299.05;304.17;24753297
291125;304.32;304.97;303.76;303.88;967797
301125;303.86;305.43;303.6;305.23;1979918
011225;305.45;306.48;303.01;305.49;13409453
