<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;1;251129;165200;303.88;303.88;303.83;303.83;60
SBER;1;251129;165300;303.83;303.84;303.8;303.8;5180
SBER;1;251129;165400;303.8;303.84;303.8;303.8;901
SBER;1;251129;165500;303.8;303.84;303.8;303.81;3586
SBER;1;251129;165600;303.84;303.84;303.81;303.81;36
SBER;1;251129;165700;303.8;303.84;303.8;303.82;116
SBER;1;251129;165800;303.82;303.84;303.8;303.82;2345
SBER;1;251129;165900;303.82;303.84;303.8;303.84;49
SBER;1;251129;170000;303.84;303.84;303.82;303.84;584
SBER;1;251129;170100;303.84;303.84;303.82;303.84;228
SBER;1;251129;170200;303.82;303.84;303.82;303.84;4287
SBER;1;251129;170300;303.84;303.85;303.82;303.85;3104
SBER;1;251129;170400;303.85;303.88;303.82;303.88;546
SBER;1;251129;170500;303.88;303.89;303.88;303.88;539
SBER;1;251129;170600;303.85;303.9;303.82;303.86;964
SBER;1;251129;170700;303.89;303.9;303.89;303.89;12
SBER;1;251129;170800;303.89;303.89;303.83;303.85;226
SBER;1;251129;170900;303.85;303.85;303.82;303.85;162
SBER;1;251129;171000;303.85;303.85;303.82;303.85;1355
SBER;1;251129;171100;303.84;303.85;303.82;303.85;202
SBER;1;251129;171200;303.85;303.85;303.84;303.84;94
SBER;1;251129;171300;303.84;303.88;303.84;303.88;48
SBER;1;251129;171400;303.88;303.88;303.85;303.88;57
SBER;1;251129;171500;303.88;303.89;303.85;303.86;1134
SBER;1;251129;171600;303.9;303.9;303.85;303.9;62
SBER;1;251129;171700;303.9;303.9;303.84;303.9;2186
SBER;1;251129;171800;303.9;303.9;303.85;303.9;299
SBER;1;251129;171900;303.9;303.92;303.9;303.92;46
SBER;1;251129;172000;303.9;303.92;303.9;303.92;24
SBER;1;251129;172100;303.92;303.92;303.9;303.92;165
SBER;1;251129;172200;303.92;303.92;303.9;303.92;163
SBER;1;251129;172300;303.92;303.92;303.9;303.92;45
SBER;1;251129;172400;303.92;303.92;303.9;303.92;60
SBER;1;251129;172500;303.92;303.92;303.9;303.9;57
SBER;1;251129;172600;303.92;303.92;303.9;303.9;425
SBER;1;251129;172700;303.9;303.92;303.86;303.86;10766
SBER;1;251129;172800;303.88;303.88;303.79;303.79;3502
SBER;1;251129;172900;303.81;303.84;303.79;303.81;424
SBER;1;251129;173000;303.8;303.81;303.8;303.8;1196
SBER;1;251129;173100;303.81;303.88;303.8;303.88;520
SBER;1;251129;173200;303.87;303.88;303.82;303.88;4175
SBER;1;251129;173300;303.88;303.88;303.85;303.88;277
SBER;1;251129;173400;303.88;303.88;303.79;303.79;1463
SBER;1;251129;173500;303.83;303.88;303.83;303.88;1045
SBER;1;251129;173600;303.86;303.88;303.8;303.87;227
